country_txt,total_events,total_deaths,attack_1_type,attack_2_type,attack_3_type,attack_4_type,attack_5_type,attack_1_events,attack_2_events,attack_3_events,attack_4_events,attack_5_events
Afghanistan,12598,57951,Bombing/Explosion,Armed Assault,Unknown,Hostage Taking (Kidnapping),Assassination,4133,3061,3012,1195,771
Algeria,1186,3543,Bombing/Explosion,Armed Assault,Assassination,Unknown,Hostage Taking (Kidnapping),504,381,169,48,47
Andorra,1,0,Armed Assault,NA,NA,NA,NA,1,NA,NA,NA,NA
Angola,432,2877,Bombing/Explosion,Armed Assault,Unknown,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,236,109,38,26,16
Argentina,282,306,Bombing/Explosion,Assassination,Armed Assault,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,127,59,43,36,12
Armenia,4,16,Armed Assault,Hijacking,Hostage Taking (Barricade Incident),NA,NA,2,1,1,NA,NA
Australia,2,0,Facility/Infrastructure Attack,NA,NA,NA,NA,2,NA,NA,NA,NA
Austria,9,9,Bombing/Explosion,Armed Assault,Assassination,Facility/Infrastructure Attack,Hostage Taking (Barricade Incident),3,2,1,1,1
Azerbaijan,11,67,Armed Assault,Bombing/Explosion,Facility/Infrastructure Attack,Hostage Taking (Kidnapping),Unknown,6,2,1,1,1
Bahrain,26,11,Bombing/Explosion,Armed Assault,Unknown,NA,NA,23,2,1,NA,NA
Bangladesh,579,834,Bombing/Explosion,Armed Assault,Facility/Infrastructure Attack,Assassination,Hostage Taking (Kidnapping),217,157,88,73,17
Belgium,36,12,Bombing/Explosion,Facility/Infrastructure Attack,Armed Assault,Hostage Taking (Kidnapping),NA,27,6,2,1,NA
Bhutan,2,5,Bombing/Explosion,NA,NA,NA,NA,2,NA,NA,NA,NA
Bolivia,62,9,Bombing/Explosion,Assassination,Armed Assault,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),40,7,6,4,4
Bosnia-Herzegovina,5,0,Bombing/Explosion,Armed Assault,Hostage Taking (Barricade Incident),NA,NA,3,1,1,NA,NA
Brazil,36,9,Bombing/Explosion,Hostage Taking (Kidnapping),Unknown,Facility/Infrastructure Attack,Hostage Taking (Barricade Incident),16,9,6,3,1
Burkina Faso,44,170,Armed Assault,Bombing/Explosion,Assassination,Hostage Taking (Kidnapping),Unknown,25,7,3,3,3
Burundi,209,1860,Armed Assault,Facility/Infrastructure Attack,Bombing/Explosion,Unknown,Hostage Taking (Kidnapping),76,41,40,37,10
Cambodia,175,413,Bombing/Explosion,Armed Assault,Unknown,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,83,48,21,14,4
Cameroon,49,53,Hostage Taking (Kidnapping),Armed Assault,Bombing/Explosion,Unknown,Facility/Infrastructure Attack,19,16,9,3,2
Canada,14,1,Facility/Infrastructure Attack,Bombing/Explosion,Hostage Taking (Kidnapping),Unarmed Assault,Armed Assault,7,2,2,2,1
Central African Republic,191,1900,Armed Assault,Hostage Taking (Kidnapping),Unknown,Bombing/Explosion,Assassination,108,35,28,7,5
Chad,26,262,Unknown,Armed Assault,Hostage Taking (Kidnapping),Bombing/Explosion,Facility/Infrastructure Attack,9,7,7,1,1
Chile,1403,169,Bombing/Explosion,Armed Assault,Facility/Infrastructure Attack,Assassination,Hostage Taking (Barricade Incident),958,186,138,52,32
China,96,520,Bombing/Explosion,Armed Assault,Assassination,Hijacking,Hostage Taking (Kidnapping),69,19,2,2,2
Colombia,5911,11047,Bombing/Explosion,Armed Assault,Hostage Taking (Kidnapping),Assassination,Unknown,2207,1685,904,449,290
Comoros,1,0,Armed Assault,NA,NA,NA,NA,1,NA,NA,NA,NA
Costa Rica,11,4,Bombing/Explosion,Armed Assault,Hostage Taking (Barricade Incident),Unknown,NA,6,3,1,1,NA
Croatia,1,41,Armed Assault,NA,NA,NA,NA,1,NA,NA,NA,NA
Cuba,2,1,Armed Assault,Hijacking,NA,NA,NA,1,1,NA,NA,NA
Cyprus,8,1,Assassination,Bombing/Explosion,NA,NA,NA,6,2,NA,NA,NA
Czech Republic,3,0,Facility/Infrastructure Attack,NA,NA,NA,NA,3,NA,NA,NA,NA
Democratic Republic of the Congo,992,4156,Armed Assault,Hostage Taking (Kidnapping),Unknown,Facility/Infrastructure Attack,Bombing/Explosion,405,259,195,93,14
Denmark,1,0,Unknown,NA,NA,NA,NA,1,NA,NA,NA,NA
Djibouti,6,236,Armed Assault,Hostage Taking (Kidnapping),NA,NA,NA,5,1,NA,NA,NA
Dominican Republic,29,12,Bombing/Explosion,Armed Assault,Assassination,Hostage Taking (Kidnapping),Hostage Taking (Barricade Incident),21,3,2,2,1
East Germany (GDR),5,0,Facility/Infrastructure Attack,Bombing/Explosion,NA,NA,NA,4,1,NA,NA,NA
Ecuador,58,15,Bombing/Explosion,Armed Assault,Hostage Taking (Kidnapping),Hostage Taking (Barricade Incident),Unknown,16,13,10,8,8
Egypt,987,2888,Bombing/Explosion,Armed Assault,Assassination,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,383,307,163,72,27
El Salvador,3724,8396,Armed Assault,Bombing/Explosion,Assassination,Facility/Infrastructure Attack,Hostage Taking (Barricade Incident),1683,1500,193,120,104
Eritrea,6,38,Bombing/Explosion,Unknown,Facility/Infrastructure Attack,Hostage Taking (Kidnapping),NA,2,2,1,1,NA
Estonia,2,0,Armed Assault,Bombing/Explosion,NA,NA,NA,1,1,NA,NA,NA
Ethiopia,111,2166,Hostage Taking (Kidnapping),Armed Assault,Bombing/Explosion,Facility/Infrastructure Attack,Unknown,32,30,26,8,7
Falkland Islands,1,0,Bombing/Explosion,NA,NA,NA,NA,1,NA,NA,NA,NA
Finland,1,0,Facility/Infrastructure Attack,NA,NA,NA,NA,1,NA,NA,NA,NA
France,1124,82,Bombing/Explosion,Facility/Infrastructure Attack,Assassination,Armed Assault,Hostage Taking (Kidnapping),951,61,50,32,9
Gabon,2,6,Armed Assault,Hostage Taking (Barricade Incident),NA,NA,NA,1,1,NA,NA,NA
Georgia,43,124,Armed Assault,Bombing/Explosion,Hostage Taking (Kidnapping),Assassination,Unknown,17,15,6,2,2
Germany,63,13,Bombing/Explosion,Facility/Infrastructure Attack,Armed Assault,Unarmed Assault,Assassination,20,19,12,6,3
Ghana,8,1,Bombing/Explosion,Armed Assault,Hostage Taking (Kidnapping),Unarmed Assault,NA,3,2,2,1,NA
Greece,590,111,Bombing/Explosion,Facility/Infrastructure Attack,Armed Assault,Assassination,Unknown,377,112,44,40,8
Guadeloupe,13,1,Bombing/Explosion,Unknown,NA,NA,NA,8,5,NA,NA,NA
Guatemala,500,1057,Armed Assault,Bombing/Explosion,Assassination,Unknown,Hostage Taking (Kidnapping),184,152,48,42,36
Guinea,1,30,Unknown,NA,NA,NA,NA,1,NA,NA,NA,NA
Guyana,2,6,Assassination,Bombing/Explosion,NA,NA,NA,1,1,NA,NA,NA
Haiti,24,60,Facility/Infrastructure Attack,Armed Assault,Assassination,Bombing/Explosion,Unarmed Assault,6,5,4,3,3
