country_txt,iyear,tot_events,tot_deaths,region_un,gini,population,prop_events,prop_deaths
Algeria,1995,65,183,Africa,35.33,28757788,2.2602572909988764e-6,6.363493603889145e-6
Algeria,2012,10,6,Africa,27.62,37383900,2.6749483066239747e-7,1.6049689839743846e-7
Angola,1995,5,29,Africa,45,13945205,3.585461812859689e-7,2.0795678514586195e-6
Argentina,1983,5,0,Americas,40.4,29262048,1.7086979011175157e-7,0
Argentina,1987,1,0,Americas,44.1175,31184410,3.206730542601255e-8,0
Argentina,1988,2,0,Americas,44.82333333333334,31668940,6.315336099029522e-8,0
Argentina,1989,2,25,Americas,47.6,32148136,6.221200507550422e-8,7.776500634438028e-7
Argentina,1990,7,0,Americas,46.6,32618648,2.1460116924527343e-7,0
Argentina,1991,1,0,Americas,45.3875,33079004,3.023065627973563e-8,0
Argentina,1992,10,0,Americas,44.574285714285715,33529320,2.982464302884759e-7,0
Argentina,1994,2,0,Americas,45.922,34402668,5.813502603925951e-8,0
Argentina,1996,3,1,Americas,47.568,35246376,8.511513353883531e-8,2.837171117961177e-8
Argentina,1999,1,0,Americas,49.8925,36467220,2.742188738269602e-8,0
Argentina,2001,1,0,Americas,52.436,37275644,2.6827168968562958e-8,0
Argentina,2003,1,0,Americas,50.00666666666667,38087868,2.6255079438943655e-8,0
Argentina,2005,3,0,Americas,47.844,38892924,7.713485363044444e-8,0
Argentina,2009,1,0,Americas,44.87285714285714,40482784,2.4701858449260802e-8,0
Argentina,2010,1,0,Americas,44.006,40895752,2.4452417454018206e-8,0
Argentina,2013,1,0,Americas,41.192,42196036,2.369890858942295e-8,0
Argentina,2014,1,0,Americas,41.574,42637508,2.3453528287816446e-8,0
Argentina,2017,2,0,Americas,39.7875,43937144,4.551957223255112e-8,0
Armenia,1991,1,0,Asia,29.6,3505249,2.8528643756834394e-7,0
Armenia,1992,1,2,Asia,35.5,3442820,2.904595651239391e-7,5.809191302478782e-7
Armenia,1999,1,8,Asia,36.22,3089020,3.237272662527274e-7,2.5898181300218192e-6
Armenia,2016,1,6,Asia,32.55,2936147,3.4058240272029975e-7,2.0434944163217985e-6
Australia,1995,1,0,Oceania,37.54705882352941,17993082,5.557691561679094e-8,0
Australia,2014,1,0,Oceania,38.066428571428574,23596426,4.2379299305750794e-8,0
Austria,1977,1,1,Europe,24.3,7636573,1.3094879077303392e-7,1.3094879077303392e-7
Austria,1981,1,1,Europe,31.4,7604512,1.3150087737385383e-7,1.3150087737385383e-7
Austria,1995,1,0,Europe,30.199,7990113,1.2515467553462636e-7,0
Azerbaijan,1992,6,62,Asia,36.1,7471924,8.030060262925586e-7,8.29772893835644e-6
Bahrain,2015,4,2,Asia,59.6,1371853,2.9157642983614133e-6,1.4578821491807066e-6
Bangladesh,1981,1,6,Asia,38.36666666666667,81767512,1.2229796107774443e-8,7.337877664664665e-8
Bangladesh,1989,26,127,Asia,32.38333333333333,100695496,2.5820420011635873e-7,1.2612282082606754e-6
Bangladesh,1992,32,79,Asia,32.285,107983712,2.9634098890766044e-7,7.315918163657867e-7
Bangladesh,2000,1,8,Asia,33.410000000000004,127657856,7.833438781863922e-9,6.266751025491137e-8
Bangladesh,2005,17,38,Asia,41.300000000000004,139035504,1.2227092728775234e-7,2.733114845255641e-7
Bangladesh,2010,7,8,Asia,41.557500000000005,147575440,4.7433366961331774e-8,5.420956224152203e-8
Bangladesh,2016,39,61,Asia,43.9725,157977152,2.4687114248014804e-7,3.8613178695612894e-7
Belgium,1998,1,0,Europe,27.464444444444446,10237298,9.76820250812275e-8,0
Belgium,1999,2,0,Europe,26.89,10255161,1.9502375438084297e-7,0
Bolivia,1989,2,2,Americas,53.1,6721117,2.9756958553169064e-7,2.9756958553169064e-7
Bolivia,1990,5,1,Americas,54.5,6864839,7.283492009062412e-7,1.4566984018124825e-7
Bolivia,1991,9,2,Americas,42.04,7011456,1.2836135604359494e-6,2.852474578746554e-7
Bolivia,1994,1,0,Americas,51.4,7466792,1.3392632337957183e-7,0
Bolivia,2005,1,0,Americas,59.36333333333333,9232301,1.0831535930208515e-7,0
Brazil,1970,4,2,Americas,57.418181818181814,95113264,4.205512282703283e-8,2.1027561413516416e-8
Brazil,1979,1,0,Americas,55.825,117878416,8.483317251226042e-9,0
Brazil,1983,1,0,Americas,57.746,129448816,7.725061000171682e-9,0
Brazil,1986,1,0,Americas,57.595,138108928,7.240661516104158e-9,0
Brazil,1992,2,0,Americas,55.494,154259376,1.2965176262608504e-8,0
Brazil,1996,2,4,Americas,59.088,164614688,1.2149584124595249e-8,2.4299168249190497e-8
Brazil,1997,6,0,Americas,58.8,167209040,3.58832273661759e-8,0
Brazil,2001,1,0,Americas,57.99666666666666,177196048,5.643466721108814e-9,0
Brazil,2006,1,0,Americas,53.9125,188167360,5.314417973446617e-9,0
Brazil,2016,1,0,Americas,51.10764705882353,206163056,4.850529573057939e-9,0
Brazil,2018,1,0,Americas,52.803333333333335,209469312,4.7739689907417085e-9,0
Brazil,2019,1,0,Americas,52.46666666666667,211049520,4.738224469783205e-9,0
Burundi,1992,1,61,Africa,33.33,5685569,1.758838913044587e-7,1.072891736957198e-5
Burundi,2006,3,12,Africa,33.36,7607850,3.9432954119757884e-7,1.5773181647903154e-6
Burundi,2014,4,1,Africa,38.62,9844301,4.063264623867149e-7,1.0158161559667872e-7
Cambodia,1997,6,70,Asia,44.7,11298594,5.310395258029451e-7,6.195461134367692e-6
Canada,1980,1,0,Americas,32.077777777777776,24416884,4.0955266855508674e-8,0
Canada,1999,1,0,Americas,35.580555555555556,30302512,3.300056444165421e-8,0
Canada,2000,1,0,Americas,35.944736842105264,30588378,3.2692155170829915e-8,0
Canada,2004,1,0,Americas,36.55529411764706,31815490,3.143123051067263e-8,0
Canada,2006,2,0,Americas,36.338125,32536994,6.146849337096106e-8,0
Canada,2012,1,0,Americas,36.152307692307694,34922032,2.863521801938673e-8,0
Canada,2013,2,0,Americas,36.52153846153846,35296536,5.6662784132697895e-8,0
Canada,2015,1,0,Americas,36.473846153846154,36026668,2.775721584910378e-8,0
Canada,2016,1,0,Americas,35.643076923076926,36382940,2.7485409370435704e-8,0
Canada,2017,1,0,Americas,36.13846153846154,36732088,2.722415344316936e-8,0
Central African Republic,2008,1,0,Africa,56.24,4273368,2.340074620299492e-7,0
Chile,1976,1,0,Americas,53.4,10756876,9.296379357724306e-8,0
Chile,1977,1,0,Americas,51.8,10922777,9.155180958102505e-8,0
Chile,1978,2,0,Americas,51.5,11089165,1.8035623060888714e-7,0
Chile,1981,22,14,Americas,51.56666666666667,11582020,1.8994959428493475e-6,1.2087701454495847e-6
Chile,1982,7,1,Americas,55.45,11743909,5.960536649253668e-7,8.51505235607667e-8
Chile,1988,153,18,Americas,54.5,12847712,1.1908735189580838e-5,1.4010276693624514e-6
Chile,1989,104,17,Americas,54.599999999999994,13058758,7.964003927479168e-6,1.3018083342994792e-6
Chile,1990,94,5,Americas,54.22882352941176,13274617,7.081183585183663e-6,3.7665870133955654e-7
Chile,1991,58,11,Americas,55.4,13495255,4.2978068958311645e-6,8.151013078300484e-7
Chile,1992,64,10,Americas,52.47,13719818,4.664784911869822e-6,7.288726424796597e-7
Chile,1994,10,0,Americas,54.242666666666665,14166346,7.058983311575194e-7,0
Chile,1995,6,0,Americas,57.2,14380864,4.1722110716018173e-7,0
